iter	Passed	Remaining
0	1	1004
1	1	856
2	2	790
3	2	741
4	3	715
5	4	705
6	4	694
7	5	703
8	6	695
9	7	695
10	7	689
11	8	685
12	8	681
13	9	677
14	10	676
15	10	675
16	11	671
17	12	667
18	12	665
19	13	662
20	14	662
21	14	662
22	15	662
23	16	660
24	16	659
25	17	658
26	18	656
27	18	654
28	19	652
29	20	653
30	20	656
31	21	655
32	22	656
33	23	656
34	23	654
35	24	652
36	24	649
37	25	648
38	26	646
39	26	644
40	27	643
41	28	643
42	28	644
43	29	643
44	30	642
45	30	640
46	31	639
47	32	638
48	32	638
49	33	636
50	34	635
51	34	634
52	35	635
53	36	634
54	36	634
55	37	633
56	38	632
57	38	631
58	39	630
59	40	629
60	40	628
61	41	628
62	42	629
63	42	628
64	43	627
65	44	626
66	44	624
67	45	624
68	46	623
69	46	622
70	47	622
71	48	621
72	48	621
73	49	620
74	50	619
75	50	619
76	51	619
77	52	618
78	53	617
79	53	616
80	54	615
81	54	614
82	55	609
83	55	609
84	56	609
85	57	608
86	57	608
87	58	607
88	59	606
89	59	605
90	60	605
91	61	604
92	61	603
93	62	602
94	63	600
95	63	600
96	64	599
97	65	599
98	65	599
99	66	599
100	67	598
101	67	597
102	68	596
103	69	595
104	69	595
105	70	595
106	71	595
107	72	594
108	72	594
109	73	592
110	73	592
111	74	591
112	75	590
113	75	589
114	76	588
115	77	587
116	77	585
117	78	583
118	78	582
119	79	581
120	79	580
121	80	579
122	81	579
123	81	578
124	82	577
125	83	575
126	83	573
127	84	573
128	84	572
129	85	571
130	85	570
131	86	568
132	87	567
133	87	566
134	88	565
135	88	564
136	89	563
137	90	562
138	90	561
139	91	560
140	91	559
141	92	557
142	92	556
143	93	555
144	93	554
145	94	553
146	95	553
147	95	552
148	96	551
149	97	551
150	97	549
151	98	549
152	99	548
153	99	547
154	100	546
155	101	546
156	101	545
157	102	544
158	102	543
159	103	542
160	103	540
161	104	539
162	104	538
163	105	537
164	106	537
165	106	536
166	107	535
167	107	534
168	108	533
169	109	532
170	109	533
171	110	532
172	111	532
173	111	531
174	112	532
175	113	531
176	114	530
177	114	529
178	115	529
179	115	528
180	116	527
181	117	526
182	117	525
183	118	524
184	118	523
185	119	522
186	120	521
187	120	520
188	121	520
189	121	519
190	122	518
191	122	517
192	123	516
193	124	516
194	124	515
195	125	515
196	126	515
197	127	514
198	127	514
199	128	513
200	128	512
201	129	511
202	130	510
203	130	510
204	131	509
205	131	508
206	132	507
207	133	506
208	133	505
209	134	504
210	134	504
211	135	503
212	136	502
213	136	501
214	137	500
215	137	500
216	138	499
217	139	498
218	139	498
219	140	497
220	141	497
221	141	496
222	142	495
223	142	494
224	143	493
225	143	492
226	144	492
227	145	491
228	145	490
229	146	489
230	146	489
231	147	488
232	148	487
233	148	486
234	149	486
235	149	485
236	150	484
237	151	483
238	151	482
239	152	481
240	152	481
241	153	480
242	154	479
243	154	479
244	155	478
245	156	478
246	156	477
247	157	476
248	157	475
249	158	475
250	158	474
251	159	473
252	160	473
253	160	472
254	161	471
255	161	470
256	162	470
257	163	469
258	163	468
259	164	467
260	164	467
261	165	466
262	166	465
263	166	464
264	167	463
265	167	463
266	168	462
267	169	462
268	169	461
269	170	461
270	171	460
271	171	459
272	172	459
273	172	458
274	173	457
275	174	456
276	174	456
277	175	455
278	176	455
279	176	454
280	177	453
281	177	452
282	178	452
283	178	451
284	179	450
285	180	449
286	180	449
287	181	448
288	181	447
289	182	446
290	183	446
291	183	445
292	184	445
293	185	444
294	185	444
295	186	443
296	187	442
297	187	441
298	188	441
299	188	440
300	189	439
301	190	439
302	190	438
303	191	437
304	191	437
305	192	436
306	193	435
307	193	434
308	194	434
309	194	433
310	195	432
311	195	432
312	196	431
313	197	430
314	197	430
315	198	429
316	199	429
317	200	429
318	200	428
319	201	427
320	201	426
321	202	426
322	202	425
323	203	424
324	204	423
325	204	423
326	205	422
327	205	421
328	206	421
329	207	420
330	207	419
331	208	419
332	208	418
333	209	417
334	210	416
335	210	416
336	211	415
337	211	414
338	212	414
339	212	413
340	213	413
341	214	412
342	215	411
343	215	411
344	216	410
345	216	409
346	217	409
347	217	408
348	218	407
349	219	406
350	219	406
351	220	405
352	220	404
353	221	404
354	221	403
355	222	402
356	223	401
357	223	401
358	224	400
359	224	399
360	225	399
361	226	398
362	226	398
363	227	397
364	228	396
365	228	396
366	229	395
367	230	395
368	230	394
369	231	393
370	231	393
371	232	392
372	233	391
373	233	391
374	234	390
375	234	389
376	235	389
377	236	388
378	236	387
379	237	386
380	237	386
381	238	385
382	238	384
383	239	384
384	240	383
385	240	383
386	241	382
387	241	381
388	242	381
389	243	380
390	243	379
391	244	379
392	245	378
393	245	378
394	246	377
395	246	376
396	247	375
397	248	375
398	248	374
399	249	373
400	249	373
401	250	372
402	251	371
403	251	371
404	252	370
405	252	369
406	253	369
407	254	368
408	254	367
409	255	367
410	255	366
411	256	365
412	256	365
413	257	364
414	258	364
415	258	363
416	259	362
417	260	362
418	260	361
419	261	360
420	261	360
421	262	359
422	263	358
423	263	358
424	264	357
425	264	356
426	265	356
427	265	355
428	266	354
429	267	354
430	267	353
431	268	352
432	268	352
433	269	351
434	270	350
435	270	350
436	271	349
437	271	348
438	272	348
439	273	347
440	273	347
441	274	346
442	275	345
443	275	345
444	276	344
445	276	343
446	277	343
447	278	342
448	278	341
449	279	341
450	279	340
451	280	339
452	280	339
453	281	338
454	282	338
455	282	337
456	283	336
457	284	336
458	284	335
459	285	335
